Rank,Company,Industry,2023 Revenue (Billion USD),Logo Colors,Headquarters
1,Walmart,Retail,$611,"Blue, Yellow",Arkansas
2,Amazon,E-commerce,$514,"Black, Orange, White",Washington
3,Apple,Technology,$394,"Black, White, Grey",California
4,UnitedHealth Group,Health Insurance,$348,"Green, Blue, White",Minnesota
5,Berkshire Hathaway,Conglomerate,$324,"Red, White, Blue",Nebraska
6,CVS Health,Healthcare,$335,"Red, White",Rhode Island
7,Exxon Mobil,Oil & Gas,$414,"Red, Blue, White",Texas
8,Alphabet,Technology,$280,"Blue, Red, Yellow, Green",California
9,McKesson,Healthcare,$277,"Blue, White",Texas
10,Cencora,Pharmaceuticals,$239,"Blue, White",Pennsylvania
11,Costco Wholesale,Retail,$237,"Red, Blue, White",Washington
12,JPMorgan Chase,Financial Services,$149,"Blue, White",New York
13,Microsoft,Technology,$212,"Blue, Red, Yellow, Green",Washington
14,Cardinal Health,Healthcare,$181,"Red, White",Ohio
15,Chevron,Oil & Gas,$230,"Blue, Red, White",California
16,Cigna Group,Health Insurance,$181,"Blue, White",Connecticut
17,Ford Motor,Automotive,$158,"Blue, White",Michigan
18,Bank of America,Financial Services,$112,"Blue, Red, White",North Carolina
19,General Motors,Automotive,$157,"Blue, White",Michigan
20,Elevance Health,Health Insurance,$157,"Blue, White",Indiana
21,Citigroup,Financial Services,$96,"Blue, Red",New York
22,Centene,Health Insurance,$145,"Blue, Green",Missouri
23,Home Depot,Retail,$157,"Orange, White",Georgia
24,Marathon Petroleum,Oil & Gas,$166,"Red, Blue, White",Ohio
25,Kroger,Retail,$138,"Blue, White",Ohio
26,Phillips 66,Oil & Gas,$134,"Red, White",Texas
27,Fannie Mae,Financial Services,$31,"Blue, White","Washington, D.C"
28,Walgreens Boots Alliance,Healthcare,$133,"Blue, Green",Illinois
29,Valero Energy,Oil & Gas,$177,"Blue, Yellow",Texas
30,Meta Platforms,Technology,$117,"Blue, White",California
31,Verizon Communications,Telecommunications,$134,"Red, Black, White",New York
32,AT&T,Telecommunications,$134,"Blue, White",Texas
33,Comcast,Telecommunications,$121,"Blue, Red, Yellow, Green",Pennsylvania
34,Wells Fargo,Financial Services,$82,"Red, Yellow",California
35,Goldman Sachs Group,Financial Services,$59,"Blue, White",New York
36,Freddie Mac,Financial Services,$25,"Green, Blue",Virginia
37,Target,Retail,$109,"Red, White",Minnesota
38,Humana,Health Insurance,$108,"Green, White",Kentucky
39,State Farm Insurance,Insurance,$79,"Red, White",Illinois
40,Tesla,Automotive,$94,"Red, Black, White",Texas
41,Morgan Stanley,Banking & Financial Services,$1,Test,New York
42,Johnson & Johnson,Healthcare & Pharmaceuticals,$2,Test,New Jersey
43,Archer Daniels Midland,Food Processing,$3,Test,Chicago
44,PepsiCo,Food & Beverage,$4,Test,New York
45,UPS,Logistics,$5,Test,Georgia
46,FedEx,Logistics,$6,Test,Tennessee
47,Walt Disney,Media & Entertainment,$7,Test,California
48,Dell Technologies,Technology & Hardware,$8,Test,Texas
49,Lowe's,Retail,$9,Test,North Carolina
50,Procter & Gamble,Consumer Goods,$10,Test,Ohio
51,Energy Transfer,Oil & Gas,$11,Test,Texas
52,Boeing,Aerospace & Defense,$12,Test,Virginia
53,Albertsons,Retail,$13,Test,Idaho
54,Sysco,Food Distribution,$14,Test,Texas
55,RTX,Aerospace & Defense,$15,Test,Virginia
56,General Electric,Conglomerate,$16,Test,Massachusetts
57,Lockheed Martin,Aerospace & Defense,$17,Test,Maryland
58,American Express,Financial Services,$18,Test,New York
59,Caterpillar,Construction Machinery,$19,Test,Texas
60,MetLife,Insurance,$20,Test,New York
61,HCA Healthcare,Healthcare,$21,Test,Tennessee
62,Progressive,Insurance,$22,Test,Ohio
63,IBM,Technology & IT Services,$23,Test,New York
64,Deere,Manufacturing,$24,Test,Illinois
65,Nvidia,Technology & Semiconductors,$25,Test,California
66,StoneX Group,Financial Services,$26,Test,New York
67,Merck,Pharmaceuticals,$27,Test,New Jersey
68,ConocoPhillips,Oil & Gas,$28,Test,Texas
69,Pfizer,Pharmaceuticals,$29,Test,New York
70,Delta Air Lines,Airlines,$30,Test,Georgia
71,TD Synnex,IT Distribution,$31,Test,California
72,Publix Super Markets,Retail,$32,Test,Florida
73,Allstate,Insurance,$33,Test,Illinois
74,Cisco Systems,Technology & Networking,$34,Test,California
75,Nationwide,Insurance,$35,Test,Ohio
76,Charter Communications,Telecommunications,$36,Test,Connecticut
77,AbbVie,Pharmaceuticals,$37,Test,Illinois
78,New York Life Insurance,Insurance,$38,Test,New York
79,Intel,Technology & Semiconductors,$39,Test,California
80,TJX,Retail,$40,Test,Massachusetts
81,Prudential Financial,Insurance,$41,Test,New Jersey
82,HP,Technology & Hardware,$42,Test,California
83,United Airlines Holdings,Airlines,$43,Test,Chicago
84,Performance Food Group,Food Distribution,$44,Test,Virginia
85,Tyson Foods,Food Processing,$45,Test,Arkansas
86,American Airlines Group,Airlines,$46,Test,Texas
87,Liberty Mutual Insurance Group,Insurance,$47,Test,Massachusetts
88,Nike,Apparel,$48,Test,Oregon
89,Oracle,Technology & Software,$49,Test,Texas
90,Enterprise Products Partners,Oil & Gas,$50,Test,Texas
91,Capital One Financial,Financial Services,$51,Test,Virginia
92,Plains GP Holdings,Oil & Gas,$52,Test,Texas
93,World Kinect,Energy Services,$53,Test,Florida
94,AIG,Insurance,$54,Test,New York
95,Coca-Cola,Food & Beverage,$55,Test,Georgia
96,TIAA,Financial Services,$56,Test,New York
97,CHS,Agriculture,$57,Test,Minnesota
98,Bristol-Myers Squibb,Pharmaceuticals,$58,Test,New Jersey
99,Dow,Chemicals,$59,Test,Michigan
100,Best Buy,Retail,$60,Test,Minnesota
101,Thermo Fisher Scientific,Healthcare & Biotechnology,$61,Test,Massachusetts
102,Massachusetts Mutual Life Insurance,Insurance,$62,Test,Massachusetts
103,USAA,Insurance,$63,Test,Texas
104,General Dynamics,Aerospace & Defense,$64,Test,Virginia
105,Travelers,Insurance,$65,Test,New York
106,Warner Bros. Discovery,Media & Entertainment,$66,Test,New York
107,U.S. Bancorp,Banking & Financial Services,$67,Test,Minnesota
108,Abbott Laboratories,Healthcare & Pharmaceuticals,$68,Test,Illinois
109,Northrop Grumman,Aerospace & Defense,$69,Test,Virginia
110,Northwestern Mutual,Insurance,$70,Test,Wisconsin
111,Dollar General,Retail,$71,Test,Tennessee
112,PBF Energy,Oil & Gas,$72,Test,New Jersey
113,Uber Technologies,Technology & Transportation,$73,Test,California
114,Honeywell International,Conglomerate,$74,Test,North Carolina
115,Mondelez International,Food & Beverage,$75,Test,Chicago
116,Starbucks,Food & Beverage,$76,Test,Washington
117,Qualcomm,Technology & Semiconductors,$77,Test,California
118,Broadcom,Technology & Semiconductors,$78,Test,California
119,US Foods Holding,Food Distribution,$79,Test,Illinois
120,D.R. Horton,Construction,$80,Test,Texas
121,Philip Morris International,Tobacco,$81,Test,Connecticut
122,Paccar,Manufacturing,$82,Test,Washington
123,Salesforce,Technology & Software,$83,Test,California
124,Nucor,Manufacturing,$84,Test,North Carolina
125,Jabil,Manufacturing,$85,Test,Florida
126,Lennar,Construction,$86,Test,Florida
127,Eli Lilly,Pharmaceuticals,$87,Test,Indiana
128,Molina Healthcare,Healthcare,$88,Test,California
129,Cummins,Manufacturing,$89,Test,Indiana
130,Bank of New York Mellon,Banking & Financial Services,$90,Test,New York
131,Netflix,Media & Entertainment,$91,Test,California
132,Truist Financial,Banking & Financial Services,$92,Test,North Carolina
133,Arrow Electronics,Technology Distribution,$93,Test,Colorado
134,3M,Manufacturing,$94,Test,Minnesota
135,Visa,Financial Services,$95,Test,California
136,Apollo Global Management,Financial Services,$96,Test,New York
137,HF Sinclair,Oil & Gas,$97,Test,Texas
138,CBRE Group,Real Estate,$98,Test,Texas
139,PNC Financial Services Group,Banking & Financial Services,$99,Test,Pennsylvania
140,Lithia Motors,Automotive,$100,Test,Oregon
141,CarMax,Automotive,$101,Test,Virginia
142,Paramount Global,Media & Entertainment,$102,Test,New York
143,Dollar Tree,Retail,$103,Test,Virginia
144,United Natural Foods,Food Distribution,$104,Test,Rhode Island
145,PayPal Holdings,Financial Technology,$105,Test,California
146,Penske Automotive Group,Automotive,$106,Test,Michigan
147,Hewlett Packard Enterprise,Technology & IT Services,$107,Test,Texas
148,Duke Energy,Utilities,$108,Test,North Carolina
149,Occidental Petroleum,Oil & Gas,$109,Test,Texas
150,NRG Energy,Energy,$110,Test,Texas
151,Amgen,Pharmaceuticals,$111,Test,California
152,NextEra Energy,Utilities,$112,Test,Florida
153,Danaher,Healthcare & Technology,$113,Test,"Washington, D.C"
154,Gilead Sciences,Pharmaceuticals,$114,Test,California
155,AutoNation,Automotive,$115,Test,Florida
156,Kraft Heinz,Food & Beverage,$116,Test,Chicago
157,Avnet,Technology Distribution,$117,Test,Arizona
158,Applied Materials,Technology & Semiconductors,$118,Test,California
159,Southwest Airlines,Airlines,$119,Test,Texas
160,Charles Schwab,Financial Services,$120,Test,Texas
161,Baker Hughes,Oil & Gas,$121,Test,Texas
162,McDonald's,Food & Beverage,$122,Test,Chicago
163,Southern,Utilities,$123,Test,Georgia
164,Mastercard,Financial Services,$124,Test,New York
165,Constellation Energy,Energy,$125,Test,Maryland
166,Hartford Financial Services Group,Insurance,$126,Test,Connecticut
167,PG&E,Utilities,$127,Test,California
168,Coupang,E-commerce,$128,Test,Washington
169,EOG Resources,Oil & Gas,$129,Test,Texas
170,Union Pacific,Railroads,$130,Test,Nebraska
171,Rite Aid,Retail & Pharmacy,$131,Test,Pennsylvania
172,Macy's,Retail,$132,Test,New York
173,Marriott International,Hospitality,$133,Test,Maryland
174,Lear,Automotive,$134,Test,Michigan
175,Genuine Parts,Automotive,$135,Test,Georgia
176,Sherwin-Williams,Chemicals,$136,Test,Ohio
177,Halliburton,Oil & Gas,$137,Test,Texas
178,Freeport-McMoRan,Mining,$138,Test,Arizona
179,Live Nation Entertainment,Media & Entertainment,$139,Test,California
180,Marsh & McLennan,Insurance & Consulting,$140,Test,New York
181,Advanced Micro Devices,Technology & Semiconductors,$141,Test,California
182,First Citizens BancShares,Banking & Financial Services,$142,Test,North Carolina
183,WESCO International,Technology Distribution,$143,Test,Pennsylvania
184,Carrier Global,Manufacturing,$144,Test,Florida
185,Cleveland-Cliffs,Mining,$145,Test,Ohio
186,Block,Financial Technology,$146,Test,California
187,Exelon,Utilities,$147,Test,Chicago
188,KKR,Financial Services,$148,Test,New York
189,CDW,Technology Distribution,$149,Test,Illinois
190,Booking Holdings,Technology & Travel,$150,Test,Connecticut
191,Synchrony,Financial Services,$151,Test,Connecticut
192,Quanta Services,Construction,$152,Test,Texas
193,Jones Lang LaSalle,Real Estate,$153,Test,Chicago
194,Discover Financial Services,Financial Services,$154,Test,Illinois
195,Tenet Healthcare,Healthcare,$155,Test,Texas
196,Altria Group,Tobacco,$156,Test,Virginia
197,Stryker,Medical Devices,$157,Test,Michigan
198,Kimberly-Clark,Consumer Goods,$158,Test,Texas
199,Waste Management,Waste Disposal,$159,Test,Texas
200,Cheniere Energy,Oil & Gas,$160,Test,Texas
201,Ross Stores,Retail,$161,Test,California
202,WestRock,Packaging,$162,Test,Georgia
203,General Mills,Food & Beverage,$163,Test,Minnesota
204,Goodyear Tire & Rubber,Automotive,$164,Test,Ohio
205,BJ's Wholesale Club,Retail,$165,Test,Massachusetts
206,GE HealthCare Technologies,Healthcare,$166,Test,Chicago
207,Colgate-Palmolive,Consumer Goods,$167,Test,New York
208,Whirlpool,Appliances,$168,Test,Michigan
209,L3Harris Technologies,Aerospace & Defense,$169,Test,Florida
210,Adobe,Technology & Software,$170,Test,California
211,Becton Dickinson,Medical Devices,$171,Test,New Jersey
212,Pioneer Natural Resources,Oil & Gas,$172,Test,Texas
213,Cognizant Technology Solutions,Technology & IT Services,$173,Test,New Jersey
214,Murphy USA,Retail,$174,Test,Arkansas
215,Fiserv,Financial Technology,$175,Test,Wisconsin
216,Parker-Hannifin,Manufacturing,$176,Test,Ohio
217,American Electric Power,Utilities,$177,Test,Ohio
218,International Paper,Packaging,$178,Test,Tennessee
219,ManpowerGroup,Employment Services,$179,Test,Wisconsin
220,Aramark,Food Services,$180,Test,Pennsylvania
221,Steel Dynamics,Manufacturing,$181,Test,Indiana
222,Aflac,Insurance,$182,Test,Georgia
223,Reinsurance Group of America,Insurance,$183,Test,Missouri
224,Emerson Electric,Manufacturing,$184,Test,Missouri
225,State Street,Financial Services,$185,Test,Massachusetts
226,PPG Industries,Chemicals,$186,Test,Pennsylvania
227,United States Steel,Manufacturing,$187,Test,Pennsylvania
228,Automatic Data Processing,Technology & IT Services,$188,Test,New Jersey
229,Group 1 Automotive,Automotive,$189,Test,Texas
230,Dominion Energy,Utilities,$190,Test,Virginia
231,BlackRock,Financial Services,$191,Test,New York
232,Oneok,Oil & Gas,$192,Test,Oklahoma
233,C.H. Robinson Worldwide,Logistics,$193,Test,Minnesota
234,Texas Instruments,Technology & Semiconductors,$194,Test,Texas
235,Kohl's,Retail,$195,Test,Wisconsin
236,AutoZone,Automotive,$196,Test,Tennessee
